Unnamed: 0,question,answer,questions_german,answers_german
184,she's one of the prettiest girls at the school.,what does she look like?,Sie ist eines der schönsten Mädchen in der Schule.,Wie sieht sie aus?
185,what does she look like?,"well, she's quite short.",Wie sieht sie aus?,es ist ja ziemlich kurz.
186,"well, she's quite short.",how tall would you say that she is?,es ist ja ziemlich kurz.,"Wie hoch wären Sie sagen, dass sie ist?"
187,how tall would you say that she is?,i would say she's only five feet.,"Wie hoch wären Sie sagen, dass sie ist?",i would say she's only five feet.
188,i would say she's only five feet.,what about her facial features?,i would say she's only five feet.,Was ist mit ihren Gesichtsmerkmalen?
189,what about her facial features?,"she has light brown eyes, absolutely beautiful.",Was ist mit ihren Gesichtsmerkmalen?,"Sie hat hellbraune Augen, absolut schön."
190,"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.,"Sie hat hellbraune Augen, absolut schön.","ich denke, ich weiß, wovon Sie sprechen."
191,i think i know who you're talking about.,have you seen her?,"ich denke, ich weiß, wovon Sie sprechen.",Haben Sie sie gesehen?
192,why weren't you at school yesterday?,i wasn't really feeling well.,Warum waren Sie gestern nicht an der Schule?,i was a little nervous about the hotel and the staff were very helpful.
193,i wasn't really feeling well.,what was wrong with you?,i was a little nervous about the hotel and the staff were very helpful.,Was war falsch mit Ihnen?
194,what was wrong with you?,my stomach was upset.,Was war falsch mit Ihnen?,"ich habe es nicht geschafft, ich habe es nicht geschafft"
195,my stomach was upset.,do you feel better now?,"ich habe es nicht geschafft, ich habe es nicht geschafft",fühlen Sie sich jetzt besser?
196,do you feel better now?,i don't really feel too well yet.,fühlen Sie sich jetzt besser?,ich fühle mich noch nicht wirklich zu gut.
197,i don't really feel too well yet.,do you want anything to make you feel better?,ich fühle mich noch nicht wirklich zu gut.,"Wollen Sie etwas, um Sie besser fühlen?"
198,do you want anything to make you feel better?,"no, thanks. i already took some medicine.","Wollen Sie etwas, um Sie besser fühlen?",ich habe schon ein paar Medikamente genommen.
199,"no, thanks. i already took some medicine.",i hope you feel better.,ich habe schon ein paar Medikamente genommen.,"ich hoffe, Sie fühlen sich besser."
200,i hope you feel better.,thank you.,"ich hoffe, Sie fühlen sich besser.",Vielen Dank.
201,what reason do you have for missing school?,i was sick.,Welchen Grund haben Sie für die fehlende Schule?,ich war krank.
202,i was sick.,how were you sick?,ich war krank.,Wie waren Sie krank?
203,how were you sick?,i had a stomachache.,Wie waren Sie krank?,i had a stomachache.
204,i had a stomachache.,did it get any better?,i had a stomachache.,hat es sich verbessert?
205,did it get any better?,i'm still feeling under the weather.,hat es sich verbessert?,ich fühle mich noch unter dem Wetter.
206,i'm still feeling under the weather.,would you like anything for your stomach?,ich fühle mich noch unter dem Wetter.,Möchten Sie etwas für Ihren Magen?
207,would you like anything for your stomach?,i took something earlier.,Möchten Sie etwas für Ihren Magen?,ich habe etwas früher genommen.
208,i took something earlier.,get better.,ich habe etwas früher genommen.,es wird besser.
209,get better.,thanks a lot.,es wird besser.,Vielen Dank.
